Type,Indicator,Context,Source,
SHA256,a196c6b8ffcb97ffb276d04f354696e2391311db3841ae16c8c9f56f36a38e92,WhisperGate Wiper,hxxps://www[.]microsoft[.]com/security/blog/2022/01/15/destructive-malware-targeting-ukrainian-organizations/,
SHA256,dcbbae5a1c61dbbbb7dcd6dc5dd1eb1169f5329958d38b58c3fd9384081c9b78,WhisperGate Wiper,hxxps://www[.]microsoft[.]com/security/blog/2022/01/15/destructive-malware-targeting-ukrainian-organizations/,
Domain,gorigan[.]ru,Pterodo C2,hxxps://www[.]microsoft[.]com/security/blog/2022/02/04/actinium-targets-ukrainian-organizations/,
Domain,teroba[.]ru,Pterodo C2,hxxps://www[.]microsoft[.]com/security/blog/2022/02/04/actinium-targets-ukrainian-organizations/,
Domain,krashand[.]ru,Pterodo C2,hxxps://www[.]microsoft[.]com/security/blog/2022/02/04/actinium-targets-ukrainian-organizations/,
SHA256,51b9e03db53b2d583f66e47af56bb0146630f8a175d4a439369045038d6d2a45,Pterodo,hxxps://www[.]microsoft[.]com/security/blog/2022/02/04/actinium-targets-ukrainian-organizations/,
SHA256,2042a2feb4d9f54d65d7579a0afba9ee1c6d22e29127991fbf34ea3da1659904,Pterodo,hxxps://www[.]microsoft[.]com/security/blog/2022/02/04/actinium-targets-ukrainian-organizations/,
SHA256,425ee82f20eb87e07a0d4f77adb72bf3377051365be203ee6ded37b399094f20,Pterodo,hxxps://www[.]microsoft[.]com/security/blog/2022/02/04/actinium-targets-ukrainian-organizations/,
SHA256,fe068e324cd4175f857dfee4c23512ed01f3abbf8b6138b715caa1ba5e9486c0,Pterodo,hxxps://www[.]microsoft[.]com/security/blog/2022/02/04/actinium-targets-ukrainian-organizations/,
SHA256,798cd714cf9e352c1e9de3d48971a366b09eeffb3513950fd64737d882c25a38,Pterodo,hxxps://www[.]microsoft[.]com/security/blog/2022/02/04/actinium-targets-ukrainian-organizations/,
SHA256,ef9b39705decbb85269518705053e7f4087758eea6bab4ba9135bf1ae922b2ea,Pterodo,hxxps://www[.]microsoft[.]com/security/blog/2022/02/04/actinium-targets-ukrainian-organizations/,
SHA256,a87e9d5e03db793a0c7b8e8e197d14745265422f05e6e50867cdfbd150d0c016,Pterodo,hxxps://www[.]microsoft[.]com/security/blog/2022/02/04/actinium-targets-ukrainian-organizations/,
SHA256,2042a2feb4d9f54d65d7579a0afba9ee1c6d22e29127991fbf34ea3da1659904,Pterodo,hxxps://www[.]microsoft[.]com/security/blog/2022/02/04/actinium-targets-ukrainian-organizations/,
SHA256,c68eb2fa929373cac727764d2cc5ca94f19a0ec7fd8c0876b98f946e72d9fa03,Pterodo,hxxps://www[.]microsoft[.]com/security/blog/2022/02/04/actinium-targets-ukrainian-organizations/,
SHA256,3b6445cf6f8e9e70cb0fff35d723fec8203375d67cbd67c9a672cddc02a7ff99,Pterodo,hxxps://www[.]microsoft[.]com/security/blog/2022/02/04/actinium-targets-ukrainian-organizations/,
SHA256,bae9895ad4e392990a09b1b8a01e424a7ad3769e538ac693919d1b99989f0cb3,Pterodo,hxxps://www[.]microsoft[.]com/security/blog/2022/02/04/actinium-targets-ukrainian-organizations/,
SHA256,c6e092316f61d2fc9c84299dd224a6e419e74c98c51a44023f8f72530ac28fdc,Pterodo,hxxps://www[.]microsoft[.]com/security/blog/2022/02/04/actinium-targets-ukrainian-organizations/,
SHA256,cb0d151d930b17f6376c18aa15fd976eac53d6f07d065fc27c40b466e3bc49aa,Pterodo,hxxps://www[.]microsoft[.]com/security/blog/2022/02/04/actinium-targets-ukrainian-organizations/,
SHA256,8ed03b1d544444b42385e79cd17c796fefae71d140b146d0757a3960d8ba3cba,Pterodo,hxxps://www[.]microsoft[.]com/security/blog/2022/02/04/actinium-targets-ukrainian-organizations/,
Domain,Jolotras[.]ru,QuietSieve C2,hxxps://www[.]microsoft[.]com/security/blog/2022/02/04/actinium-targets-ukrainian-organizations/,
Domain,Moolin[.]ru,QuietSieve C2,hxxps://www[.]microsoft[.]com/security/blog/2022/02/04/actinium-targets-ukrainian-organizations/,
SHA256,0afce2247ffb53783259b7dc5a0afe04d918767c991db2da906277898fd80be5,QuietSieve,hxxps://www[.]microsoft[.]com/security/blog/2022/02/04/actinium-targets-ukrainian-organizations/,
SHA256,e4d309735f5326a193844772fc65b186fd673436efab7c6fed9eb7e3d01b6f19,QuietSieve,hxxps://www[.]microsoft[.]com/security/blog/2022/02/04/actinium-targets-ukrainian-organizations/,
SHA256,f211e0eb49990edbb5de2bcf2f573ea6a0b6f3549e772fd16bf7cc214d924824,QuietSieve,hxxps://www[.]microsoft[.]com/security/blog/2022/02/04/actinium-targets-ukrainian-organizations/,
SHA256,6d4b97e74abf499fa983b73a1e6957eadb2ec6a83e206fff1ab863448e4262c6,QuietSieve,hxxps://www[.]microsoft[.]com/security/blog/2022/02/04/actinium-targets-ukrainian-organizations/,
SHA256,eb1724d14397de8f9dca4720dada0195ebb99d72427703cabcb47b174a3bfea2,QuietSieve,hxxps://www[.]microsoft[.]com/security/blog/2022/02/04/actinium-targets-ukrainian-organizations/,
SHA256,e4d309735f5326a193844772fc65b186fd673436efab7c6fed9eb7e3d01b6f19,QuietSieve,hxxps://www[.]microsoft[.]com/security/blog/2022/02/04/actinium-targets-ukrainian-organizations/,
SHA256,b92dcbacbaaf0a05c805d31762cd4e45c912ba940c57b982939d79731cf97217,QuietSieve,hxxps://www[.]microsoft[.]com/security/blog/2022/02/04/actinium-targets-ukrainian-organizations/,
SHA256,b3d68268bd4bb14b6d412cef2b12ae4f2a385c36600676c1a9988cf1e9256877,QuietSieve,hxxps://www[.]microsoft[.]com/security/blog/2022/02/04/actinium-targets-ukrainian-organizations/,
SHA256,a6867e9086a8f713a962238204a3266185de2cc3c662fba8d79f0e9b22ce8dd6,QuietSieve,hxxps://www[.]microsoft[.]com/security/blog/2022/02/04/actinium-targets-ukrainian-organizations/,
SHA256,a01e12988448a5b26d1d1adecc2dda539b5842f6a7044f8803a52c8bb714cdb0,QuietSieve,hxxps://www[.]microsoft[.]com/security/blog/2022/02/04/actinium-targets-ukrainian-organizations/,
SHA256,8a8c1a292eeb404407a9fe90430663a6d17767e49d52107b60bc229c090a0ae9,QuietSieve,hxxps://www[.]microsoft[.]com/security/blog/2022/02/04/actinium-targets-ukrainian-organizations/,
SHA256,15099fc6aea1961164954033b397d773ebf4b3ef7a5567feb064329be6236a01,QuietSieve,hxxps://www[.]microsoft[.]com/security/blog/2022/02/04/actinium-targets-ukrainian-organizations/,
SHA256,137bfe2977b719d92b87699d93c0f140d659e990b482bbc5301085003c2bd58c,QuietSieve,hxxps://www[.]microsoft[.]com/security/blog/2022/02/04/actinium-targets-ukrainian-organizations/,
SHA256,0e5b4e578788760701630a810d1920d510015367bf90c1eab4373d0c48a921d9,QuietSieve,hxxps://www[.]microsoft[.]com/security/blog/2022/02/04/actinium-targets-ukrainian-organizations/,
SHA256,0afce2247ffb53783259b7dc5a0afe04d918767c991db2da906277898fd80be5,QuietSieve,hxxps://www[.]microsoft[.]com/security/blog/2022/02/04/actinium-targets-ukrainian-organizations/,
Domain,alacritas[.]ru,PowerPunch,hxxps://www[.]microsoft[.]com/security/blog/2022/02/04/actinium-targets-ukrainian-organizations/,
Domain,libellus[.]ru,PowerPunch,hxxps://www[.]microsoft[.]com/security/blog/2022/02/04/actinium-targets-ukrainian-organizations/,
Domain,brontaga[.]ru,DessertDown,hxxps://www[.]microsoft[.]com/security/blog/2022/02/04/actinium-targets-ukrainian-organizations/,
Domain,gortomalo[.]ru,DessertDown and possibly other ACTINIUM capabilities,hxxps://www[.]microsoft[.]com/security/blog/2022/02/04/actinium-targets-ukrainian-organizations/,
Domain,corolain[.]ru,Used for PowerShell cmdlets,hxxps://www[.]microsoft[.]com/security/blog/2022/02/04/actinium-targets-ukrainian-organizations/,
