uuid,event_id,category,type,value,comment,to_ids,date,object_relation,attribute_tag,object_uuid,object_name,object_meta_category,event_info,event_member_org,event_source_org,event_distribution,event_threat_level_id,event_analysis,event_date,event_tag,event_timestamp
"a5f56ecb-6565-46a1-9bc5-1952dcb4e11f",5881,"Network activity","ip-dst","176.215.230.46","",1,1646059852,"","","","","","GreyNoise Ukraine IOC Feed - Historical IPs","UKRAINE-CRISIS","UKRAINE-CRISIS",3,"High",1,"2022-02-28","collection:ioc-source=""greynoise"",tlp:white,false-positive:risk=""medium"",collection:type=""automatic"",collection:global-event=""ukraine-crisis""",1646308803
"518fe372-91a9-4463-b0e1-39d518978ea8",5881,"Network activity","ip-dst","45.159.208.72","",1,1646059852,"","","","","","GreyNoise Ukraine IOC Feed - Historical IPs","UKRAINE-CRISIS","UKRAINE-CRISIS",3,"High",1,"2022-02-28","collection:ioc-source=""greynoise"",tlp:white,false-positive:risk=""medium"",collection:type=""automatic"",collection:global-event=""ukraine-crisis""",1646308803
"2ddc3de0-ce61-4372-a236-8803245067c8",5881,"Network activity","ip-dst","45.172.153.157","",1,1646059852,"","","","","","GreyNoise Ukraine IOC Feed - Historical IPs","UKRAINE-CRISIS","UKRAINE-CRISIS",3,"High",1,"2022-02-28","collection:ioc-source=""greynoise"",tlp:white,false-positive:risk=""medium"",collection:type=""automatic"",collection:global-event=""ukraine-crisis""",1646308803
"cebd7b04-b3d3-4c4c-a687-8f8f635e1b0f",5881,"Network activity","ip-dst","176.215.104.33","",1,1646059852,"","","","","","GreyNoise Ukraine IOC Feed - Historical IPs","UKRAINE-CRISIS","UKRAINE-CRISIS",3,"High",1,"2022-02-28","collection:ioc-source=""greynoise"",tlp:white,false-positive:risk=""medium"",collection:type=""automatic"",collection:global-event=""ukraine-crisis""",1646308803
"15ef3614-826b-40a6-a707-ffa595c29561",5881,"Network activity","ip-dst","59.102.186.33","",1,1646059852,"","","","","","GreyNoise Ukraine IOC Feed - Historical IPs","UKRAINE-CRISIS","UKRAINE-CRISIS",3,"High",1,"2022-02-28","collection:ioc-source=""greynoise"",tlp:white,false-positive:risk=""medium"",collection:type=""automatic"",collection:global-event=""ukraine-crisis""",1646308803
"4304ed94-c334-415e-a3d2-edaad619f917",5881,"Network activity","ip-dst","95.72.229.228","",1,1646059852,"","","","","","GreyNoise Ukraine IOC Feed - Historical IPs","UKRAINE-CRISIS","UKRAINE-CRISIS",3,"High",1,"2022-02-28","collection:ioc-source=""greynoise"",tlp:white,false-positive:risk=""medium"",collection:type=""automatic"",collection:global-event=""ukraine-crisis""",1646308803
"ec0c7006-2db5-4436-9ae4-9f32d1117ce4",5881,"Network activity","ip-dst","116.48.6.22","",1,1646059852,"","","","","","GreyNoise Ukraine IOC Feed - Historical IPs","UKRAINE-CRISIS","UKRAINE-CRISIS",3,"High",1,"2022-02-28","collection:ioc-source=""greynoise"",tlp:white,false-positive:risk=""medium"",collection:type=""automatic"",collection:global-event=""ukraine-crisis""",1646308803
"6a928625-f06d-4c1b-867e-5d9e84ffc8b7",5881,"Network activity","ip-dst","217.79.1.106","",1,1646059852,"","","","","","GreyNoise Ukraine IOC Feed - Historical IPs","UKRAINE-CRISIS","UKRAINE-CRISIS",3,"High",1,"2022-02-28","collection:ioc-source=""greynoise"",tlp:white,false-positive:risk=""medium"",collection:type=""automatic"",collection:global-event=""ukraine-crisis""",1646308803
"9916448a-f6c6-4849-acba-e3a64c893a1d",5881,"Network activity","ip-dst","220.129.139.182","",1,1646059852,"","","","","","GreyNoise Ukraine IOC Feed - Historical IPs","UKRAINE-CRISIS","UKRAINE-CRISIS",3,"High",1,"2022-02-28","collection:ioc-source=""greynoise"",tlp:white,false-positive:risk=""medium"",collection:type=""automatic"",collection:global-event=""ukraine-crisis""",1646308803
"8e6fc96e-135c-4951-acc4-d47c05e8fa1d",5881,"Network activity","ip-dst","93.78.227.241","",1,1646059852,"","","","","","GreyNoise Ukraine IOC Feed - Historical IPs","UKRAINE-CRISIS","UKRAINE-CRISIS",3,"High",1,"2022-02-28","collection:ioc-source=""greynoise"",tlp:white,false-positive:risk=""medium"",collection:type=""automatic"",collection:global-event=""ukraine-crisis""",1646308803
"044374bb-7d86-4199-8fe0-6eb1dc915d68",5881,"Network activity","ip-dst","201.219.103.184","",1,1646059852,"","","","","","GreyNoise Ukraine IOC Feed - Historical IPs","UKRAINE-CRISIS","UKRAINE-CRISIS",3,"High",1,"2022-02-28","collection:ioc-source=""greynoise"",tlp:white,false-positive:risk=""medium"",collection:type=""automatic"",collection:global-event=""ukraine-crisis""",1646308803
"67bdb082-bb42-4ceb-8aa4-047050e4d114",5881,"Network activity","ip-dst","91.240.118.137","",1,1646059852,"","","","","","GreyNoise Ukraine IOC Feed - Historical IPs","UKRAINE-CRISIS","UKRAINE-CRISIS",3,"High",1,"2022-02-28","collection:ioc-source=""greynoise"",tlp:white,false-positive:risk=""medium"",collection:type=""automatic"",collection:global-event=""ukraine-crisis""",1646308803
"f0b9b29b-a02b-4c9b-b624-8c2eeb1e0cc9",5881,"Network activity","ip-dst","125.165.106.195","",1,1646059852,"","","","","","GreyNoise Ukraine IOC Feed - Historical IPs","UKRAINE-CRISIS","UKRAINE-CRISIS",3,"High",1,"2022-02-28","collection:ioc-source=""greynoise"",tlp:white,false-positive:risk=""medium"",collection:type=""automatic"",collection:global-event=""ukraine-crisis""",1646308803
"682dccb7-7639-45cb-90c7-037173706c24",5881,"Network activity","ip-dst","156.196.39.62","",1,1646059852,"","","","","","GreyNoise Ukraine IOC Feed - Historical IPs","UKRAINE-CRISIS","UKRAINE-CRISIS",3,"High",1,"2022-02-28","collection:ioc-source=""greynoise"",tlp:white,false-positive:risk=""medium"",collection:type=""automatic"",collection:global-event=""ukraine-crisis""",1646308803
"aaea9042-438d-47d0-942a-185d5641c0f5",5881,"Network activity","ip-dst","190.206.191.41","",1,1646059852,"","","","","","GreyNoise Ukraine IOC Feed - Historical IPs","UKRAINE-CRISIS","UKRAINE-CRISIS",3,"High",1,"2022-02-28","collection:ioc-source=""greynoise"",tlp:white,false-positive:risk=""medium"",collection:type=""automatic"",collection:global-event=""ukraine-crisis""",1646308803
"e0d01b1a-b06e-4ee6-92ef-e1b01a9d9cc6",5881,"Network activity","ip-dst","46.72.16.203","",1,1646059852,"","","","","","GreyNoise Ukraine IOC Feed - Historical IPs","UKRAINE-CRISIS","UKRAINE-CRISIS",3,"High",1,"2022-02-28","collection:ioc-source=""greynoise"",tlp:white,false-positive:risk=""medium"",collection:type=""automatic"",collection:global-event=""ukraine-crisis""",1646308803
"c94cc7aa-d5cd-4aa2-80c1-197932a9bb0b",5881,"Network activity","ip-dst","195.54.32.233","",1,1646059852,"","","","","","GreyNoise Ukraine IOC Feed - Historical IPs","UKRAINE-CRISIS","UKRAINE-CRISIS",3,"High",1,"2022-02-28","collection:ioc-source=""greynoise"",tlp:white,false-positive:risk=""medium"",collection:type=""automatic"",collection:global-event=""ukraine-crisis""",1646308803
"b0d8107b-b502-4391-9004-0d7b97148393",5881,"Network activity","ip-dst","179.80.191.221","",1,1646059852,"","","","","","GreyNoise Ukraine IOC Feed - Historical IPs","UKRAINE-CRISIS","UKRAINE-CRISIS",3,"High",1,"2022-02-28","collection:ioc-source=""greynoise"",tlp:white,false-positive:risk=""medium"",collection:type=""automatic"",collection:global-event=""ukraine-crisis""",1646308803
"ce1305cd-8b75-43e6-9114-6309f809fd29",5881,"Network activity","ip-dst","94.232.41.25","",1,1646059852,"","","","","","GreyNoise Ukraine IOC Feed - Historical IPs","UKRAINE-CRISIS","UKRAINE-CRISIS",3,"High",1,"2022-02-28","collection:ioc-source=""greynoise"",tlp:white,false-positive:risk=""medium"",collection:type=""automatic"",collection:global-event=""ukraine-crisis""",1646308803
"e768d3de-2225-4cc0-a36d-1af18f95d564",5881,"Network activity","ip-dst","176.215.104.130","",1,1646059852,"","","","","","GreyNoise Ukraine IOC Feed - Historical IPs","UKRAINE-CRISIS","UKRAINE-CRISIS",3,"High",1,"2022-02-28","collection:ioc-source=""greynoise"",tlp:white,false-positive:risk=""medium"",collection:type=""automatic"",collection:global-event=""ukraine-crisis""",1646308803
