uuid,event_id,category,type,value,comment,to_ids,date,object_relation,attribute_tag,object_uuid,object_name,object_meta_category,event_info,event_member_org,event_source_org,event_distribution,event_threat_level_id,event_analysis,event_date,event_tag,event_timestamp
"11f8b1e5-e2cf-4cc7-87b2-986cb547bf23",5879,"Network activity","ip-dst","78.164.245.243","",1,1646059436,"","","","","","GreyNoise Ukraine IOC Feed - Spoofed IPs","UKRAINE-CRISIS","UKRAINE-CRISIS",3,"High",2,"2022-02-28","collection:ioc-source=""greynoise"",tlp:white,false-positive:risk=""medium"",collection:type=""automatic"",collection:global-event=""ukraine-crisis""",1646352003
"7ad4aeb2-c0b1-4d60-b6a5-e6f5d5b73011",5879,"Network activity","ip-dst","31.19.53.114","",1,1646059436,"","","","","","GreyNoise Ukraine IOC Feed - Spoofed IPs","UKRAINE-CRISIS","UKRAINE-CRISIS",3,"High",2,"2022-02-28","collection:ioc-source=""greynoise"",tlp:white,false-positive:risk=""medium"",collection:type=""automatic"",collection:global-event=""ukraine-crisis""",1646352003
"c8bda8a7-9b69-4a30-a81d-734627698978",5879,"Network activity","ip-dst","95.72.229.228","",1,1646059436,"","","","","","GreyNoise Ukraine IOC Feed - Spoofed IPs","UKRAINE-CRISIS","UKRAINE-CRISIS",3,"High",2,"2022-02-28","collection:ioc-source=""greynoise"",tlp:white,false-positive:risk=""medium"",collection:type=""automatic"",collection:global-event=""ukraine-crisis""",1646352003
"c2a38100-427c-475a-9538-83e8321811c5",5879,"Network activity","ip-dst","194.61.233.41","",1,1646059436,"","","","","","GreyNoise Ukraine IOC Feed - Spoofed IPs","UKRAINE-CRISIS","UKRAINE-CRISIS",3,"High",2,"2022-02-28","collection:ioc-source=""greynoise"",tlp:white,false-positive:risk=""medium"",collection:type=""automatic"",collection:global-event=""ukraine-crisis""",1646352003
"a7008829-7845-47b3-84e6-3a2c8c374c6d",5879,"Network activity","ip-dst","45.135.167.138","",1,1646059436,"","","","","","GreyNoise Ukraine IOC Feed - Spoofed IPs","UKRAINE-CRISIS","UKRAINE-CRISIS",3,"High",2,"2022-02-28","collection:ioc-source=""greynoise"",tlp:white,false-positive:risk=""medium"",collection:type=""automatic"",collection:global-event=""ukraine-crisis""",1646352003
"0ecf92c8-02c8-42a1-aa64-d444c404223a",5879,"Network activity","ip-dst","59.102.186.33","",1,1646059436,"","","","","","GreyNoise Ukraine IOC Feed - Spoofed IPs","UKRAINE-CRISIS","UKRAINE-CRISIS",3,"High",2,"2022-02-28","collection:ioc-source=""greynoise"",tlp:white,false-positive:risk=""medium"",collection:type=""automatic"",collection:global-event=""ukraine-crisis""",1646352003
"2dcefcbf-3303-42a1-9508-d24eef186be0",5879,"Network activity","ip-dst","185.225.226.8","",1,1646059436,"","","","","","GreyNoise Ukraine IOC Feed - Spoofed IPs","UKRAINE-CRISIS","UKRAINE-CRISIS",3,"High",2,"2022-02-28","collection:ioc-source=""greynoise"",tlp:white,false-positive:risk=""medium"",collection:type=""automatic"",collection:global-event=""ukraine-crisis""",1646352003
"b8d34b5b-dd1a-4216-86c7-45014eb7696b",5879,"Network activity","ip-dst","217.79.1.106","",1,1646059436,"","","","","","GreyNoise Ukraine IOC Feed - Spoofed IPs","UKRAINE-CRISIS","UKRAINE-CRISIS",3,"High",2,"2022-02-28","collection:ioc-source=""greynoise"",tlp:white,false-positive:risk=""medium"",collection:type=""automatic"",collection:global-event=""ukraine-crisis""",1646352003
"f09cbe07-8227-4262-a093-7a187d191943",5879,"Network activity","ip-dst","45.172.153.157","",1,1646059436,"","","","","","GreyNoise Ukraine IOC Feed - Spoofed IPs","UKRAINE-CRISIS","UKRAINE-CRISIS",3,"High",2,"2022-02-28","collection:ioc-source=""greynoise"",tlp:white,false-positive:risk=""medium"",collection:type=""automatic"",collection:global-event=""ukraine-crisis""",1646352003
"bb1f8524-66c1-493b-b5da-513f4eb662dd",5879,"Network activity","ip-dst","45.83.220.191","",1,1646059436,"","","","","","GreyNoise Ukraine IOC Feed - Spoofed IPs","UKRAINE-CRISIS","UKRAINE-CRISIS",3,"High",2,"2022-02-28","collection:ioc-source=""greynoise"",tlp:white,false-positive:risk=""medium"",collection:type=""automatic"",collection:global-event=""ukraine-crisis""",1646352003
"aef963b1-c319-4fec-9895-ac4a01c5a3a2",5879,"Network activity","ip-dst","45.135.167.196","",1,1646059436,"","","","","","GreyNoise Ukraine IOC Feed - Spoofed IPs","UKRAINE-CRISIS","UKRAINE-CRISIS",3,"High",2,"2022-02-28","collection:ioc-source=""greynoise"",tlp:white,false-positive:risk=""medium"",collection:type=""automatic"",collection:global-event=""ukraine-crisis""",1646352003
"d5f317e0-fe68-4ed8-8449-98bf571d38d2",5879,"Network activity","ip-dst","116.48.6.22","",1,1646059436,"","","","","","GreyNoise Ukraine IOC Feed - Spoofed IPs","UKRAINE-CRISIS","UKRAINE-CRISIS",3,"High",2,"2022-02-28","collection:ioc-source=""greynoise"",tlp:white,false-positive:risk=""medium"",collection:type=""automatic"",collection:global-event=""ukraine-crisis""",1646352003
"85e8dbfa-9a08-4ee5-951b-3c338d753c79",5879,"Network activity","ip-dst","194.61.233.74","",1,1646059436,"","","","","","GreyNoise Ukraine IOC Feed - Spoofed IPs","UKRAINE-CRISIS","UKRAINE-CRISIS",3,"High",2,"2022-02-28","collection:ioc-source=""greynoise"",tlp:white,false-positive:risk=""medium"",collection:type=""automatic"",collection:global-event=""ukraine-crisis""",1646352003
"5e38a63f-0fa8-44d9-8561-045d3d7c1c87",5879,"Network activity","ip-dst","45.135.167.90","",1,1646059436,"","","","","","GreyNoise Ukraine IOC Feed - Spoofed IPs","UKRAINE-CRISIS","UKRAINE-CRISIS",3,"High",2,"2022-02-28","collection:ioc-source=""greynoise"",tlp:white,false-positive:risk=""medium"",collection:type=""automatic"",collection:global-event=""ukraine-crisis""",1646352003
"f30a9aec-3506-42bc-a1f5-6f75efbbd416",5879,"Network activity","ip-dst","45.135.167.29","",1,1646059436,"","","","","","GreyNoise Ukraine IOC Feed - Spoofed IPs","UKRAINE-CRISIS","UKRAINE-CRISIS",3,"High",2,"2022-02-28","collection:ioc-source=""greynoise"",tlp:white,false-positive:risk=""medium"",collection:type=""automatic"",collection:global-event=""ukraine-crisis""",1646352003
"00ccc4dc-15ac-4e0a-b6c9-cf305427de08",5879,"Network activity","ip-dst","194.61.233.62","",1,1646059436,"","","","","","GreyNoise Ukraine IOC Feed - Spoofed IPs","UKRAINE-CRISIS","UKRAINE-CRISIS",3,"High",2,"2022-02-28","collection:ioc-source=""greynoise"",tlp:white,false-positive:risk=""medium"",collection:type=""automatic"",collection:global-event=""ukraine-crisis""",1646352003
"d0c19ee6-ce24-4a98-a14f-26883c12f8a7",5879,"Network activity","ip-dst","176.215.230.46","",1,1646059436,"","","","","","GreyNoise Ukraine IOC Feed - Spoofed IPs","UKRAINE-CRISIS","UKRAINE-CRISIS",3,"High",2,"2022-02-28","collection:ioc-source=""greynoise"",tlp:white,false-positive:risk=""medium"",collection:type=""automatic"",collection:global-event=""ukraine-crisis""",1646352003
"ec0033fb-a398-42bf-b0d9-41c361aab12e",5879,"Network activity","ip-dst","176.215.104.33","",1,1646059436,"","","","","","GreyNoise Ukraine IOC Feed - Spoofed IPs","UKRAINE-CRISIS","UKRAINE-CRISIS",3,"High",2,"2022-02-28","collection:ioc-source=""greynoise"",tlp:white,false-positive:risk=""medium"",collection:type=""automatic"",collection:global-event=""ukraine-crisis""",1646352003
"a408df24-b164-4e94-a376-3e5c2228b8ed",5879,"Network activity","ip-dst","194.61.233.110","",1,1646059436,"","","","","","GreyNoise Ukraine IOC Feed - Spoofed IPs","UKRAINE-CRISIS","UKRAINE-CRISIS",3,"High",2,"2022-02-28","collection:ioc-source=""greynoise"",tlp:white,false-positive:risk=""medium"",collection:type=""automatic"",collection:global-event=""ukraine-crisis""",1646352003
"ca1e7d3f-967a-48f3-b14c-b07e75a6feec",5879,"Network activity","ip-dst","220.129.139.182","",1,1646059436,"","","","","","GreyNoise Ukraine IOC Feed - Spoofed IPs","UKRAINE-CRISIS","UKRAINE-CRISIS",3,"High",2,"2022-02-28","collection:ioc-source=""greynoise"",tlp:white,false-positive:risk=""medium"",collection:type=""automatic"",collection:global-event=""ukraine-crisis""",1646352003
"a41a3dd7-9b7d-4fd5-afce-4f33d94b6aea",5879,"Network activity","ip-dst","194.61.233.111","",1,1646059436,"","","","","","GreyNoise Ukraine IOC Feed - Spoofed IPs","UKRAINE-CRISIS","UKRAINE-CRISIS",3,"High",2,"2022-02-28","collection:ioc-source=""greynoise"",tlp:white,false-positive:risk=""medium"",collection:type=""automatic"",collection:global-event=""ukraine-crisis""",1646352003
"21056ff5-3702-4eee-936e-e04b2ca8faa5",5879,"Network activity","ip-dst","93.78.227.241","",1,1646059436,"","","","","","GreyNoise Ukraine IOC Feed - Spoofed IPs","UKRAINE-CRISIS","UKRAINE-CRISIS",3,"High",2,"2022-02-28","collection:ioc-source=""greynoise"",tlp:white,false-positive:risk=""medium"",collection:type=""automatic"",collection:global-event=""ukraine-crisis""",1646352003
"9e0ec343-461b-4695-98bc-857555cc17e1",5879,"Network activity","ip-dst","185.225.226.32","",1,1646059436,"","","","","","GreyNoise Ukraine IOC Feed - Spoofed IPs","UKRAINE-CRISIS","UKRAINE-CRISIS",3,"High",2,"2022-02-28","collection:ioc-source=""greynoise"",tlp:white,false-positive:risk=""medium"",collection:type=""automatic"",collection:global-event=""ukraine-crisis""",1646352003
"9bb1fa42-b429-4134-918d-eaf55cc10f9e",5879,"Network activity","ip-dst","45.82.153.143","",1,1646059436,"","","","","","GreyNoise Ukraine IOC Feed - Spoofed IPs","UKRAINE-CRISIS","UKRAINE-CRISIS",3,"High",2,"2022-02-28","collection:ioc-source=""greynoise"",tlp:white,false-positive:risk=""medium"",collection:type=""automatic"",collection:global-event=""ukraine-crisis""",1646352003
