uuid,event_id,category,type,value,comment,to_ids,date,object_relation,attribute_tag,object_uuid,object_name,object_meta_category,event_info,event_member_org,event_source_org,event_distribution,event_threat_level_id,event_analysis,event_date,event_tag,event_timestamp
"cf96f68e-e590-4324-a9c0-aa1778806275",5883,"Network activity","ip-dst|port","5.252.177.62|443","bazarloader",1,1646082355,"","BazarLoader","","","","Ukraine Crisis ThreatFox IOC Feed","UKRAINE-CRISIS","UKRAINE-CRISIS",3,"High",1,"2022-02-28","collection:ioc-source=""abuse.ch"",tlp:white,false-positive:risk=""medium"",collection:type=""automatic"",collection:global-event=""ukraine-crisis""",1646524820
"c391ce45-1f66-4449-bb04-6e7e23feb55c",5883,"Network activity","ip-dst|port","94.140.114.105|443","bazarloader",1,1646082355,"","BazarLoader","","","","Ukraine Crisis ThreatFox IOC Feed","UKRAINE-CRISIS","UKRAINE-CRISIS",3,"High",1,"2022-02-28","collection:ioc-source=""abuse.ch"",tlp:white,false-positive:risk=""medium"",collection:type=""automatic"",collection:global-event=""ukraine-crisis""",1646524820
"0f53efbc-1b7b-4120-bf5a-eec0b8c84c2a",5883,"Network activity","ip-dst|port","23.254.211.173|443","bazarloader",1,1646082355,"","BazarLoader","","","","Ukraine Crisis ThreatFox IOC Feed","UKRAINE-CRISIS","UKRAINE-CRISIS",3,"High",1,"2022-02-28","collection:ioc-source=""abuse.ch"",tlp:white,false-positive:risk=""medium"",collection:type=""automatic"",collection:global-event=""ukraine-crisis""",1646524820
"514ef2ad-8c00-48c6-97e4-ae0ee4e1731b",5883,"Network activity","ip-dst|port","45.131.66.226|443","bazarloader",1,1646082356,"","BazarLoader","","","","Ukraine Crisis ThreatFox IOC Feed","UKRAINE-CRISIS","UKRAINE-CRISIS",3,"High",1,"2022-02-28","collection:ioc-source=""abuse.ch"",tlp:white,false-positive:risk=""medium"",collection:type=""automatic"",collection:global-event=""ukraine-crisis""",1646524820
"0fd7cb1a-7f0c-46b7-b520-80260df4e9af",5883,"Network activity","ip-dst|port","137.74.104.103|443","bazarloader",1,1646082356,"","BazarLoader","","","","Ukraine Crisis ThreatFox IOC Feed","UKRAINE-CRISIS","UKRAINE-CRISIS",3,"High",1,"2022-02-28","collection:ioc-source=""abuse.ch"",tlp:white,false-positive:risk=""medium"",collection:type=""automatic"",collection:global-event=""ukraine-crisis""",1646524820
"48a85a72-8259-4a27-9090-83f8a135b43d",5883,"Network activity","ip-dst|port","80.92.204.176|443","bazarloader",1,1646082356,"","BazarLoader","","","","Ukraine Crisis ThreatFox IOC Feed","UKRAINE-CRISIS","UKRAINE-CRISIS",3,"High",1,"2022-02-28","collection:ioc-source=""abuse.ch"",tlp:white,false-positive:risk=""medium"",collection:type=""automatic"",collection:global-event=""ukraine-crisis""",1646524820
"ef8ba11f-e202-427f-99a0-80bee9aa4eb8",5883,"Network activity","ip-dst|port","5.2.67.108|443","bazarloader",1,1646082357,"","BazarLoader","","","","Ukraine Crisis ThreatFox IOC Feed","UKRAINE-CRISIS","UKRAINE-CRISIS",3,"High",1,"2022-02-28","collection:ioc-source=""abuse.ch"",tlp:white,false-positive:risk=""medium"",collection:type=""automatic"",collection:global-event=""ukraine-crisis""",1646524820
"e62ef651-4d80-4477-98c9-0a1cb0c50d0c",5883,"Network activity","ip-dst|port","185.83.91.229|443","bazarloader",1,1646082357,"","BazarLoader","","","","Ukraine Crisis ThreatFox IOC Feed","UKRAINE-CRISIS","UKRAINE-CRISIS",3,"High",1,"2022-02-28","collection:ioc-source=""abuse.ch"",tlp:white,false-positive:risk=""medium"",collection:type=""automatic"",collection:global-event=""ukraine-crisis""",1646524820
"2c88b3fe-fd56-4ed8-8c71-9d00acdb7ebf",5883,"Network activity","ip-dst|port","103.208.86.105|443","bazarloader",1,1646082357,"","BazarLoader","","","","Ukraine Crisis ThreatFox IOC Feed","UKRAINE-CRISIS","UKRAINE-CRISIS",3,"High",1,"2022-02-28","collection:ioc-source=""abuse.ch"",tlp:white,false-positive:risk=""medium"",collection:type=""automatic"",collection:global-event=""ukraine-crisis""",1646524820
"6fae4caa-7ddd-47ff-a907-a92d75668632",5883,"Network activity","ip-dst|port","5.2.70.80|443","bazarloader",1,1646082358,"","BazarLoader","","","","Ukraine Crisis ThreatFox IOC Feed","UKRAINE-CRISIS","UKRAINE-CRISIS",3,"High",1,"2022-02-28","collection:ioc-source=""abuse.ch"",tlp:white,false-positive:risk=""medium"",collection:type=""automatic"",collection:global-event=""ukraine-crisis""",1646524820
"6929a004-8a44-49d6-bf5f-f82476a339c9",5883,"Network activity","ip-dst|port","103.208.86.112|443","bazarloader",1,1646082358,"","BazarLoader","","","","Ukraine Crisis ThreatFox IOC Feed","UKRAINE-CRISIS","UKRAINE-CRISIS",3,"High",1,"2022-02-28","collection:ioc-source=""abuse.ch"",tlp:white,false-positive:risk=""medium"",collection:type=""automatic"",collection:global-event=""ukraine-crisis""",1646524820
"79d8793a-9e54-4c83-be4e-ed2c34f4d13f",5883,"Network activity","ip-dst|port","103.208.86.234|443","bazarloader",1,1646082358,"","BazarLoader","","","","Ukraine Crisis ThreatFox IOC Feed","UKRAINE-CRISIS","UKRAINE-CRISIS",3,"High",1,"2022-02-28","collection:ioc-source=""abuse.ch"",tlp:white,false-positive:risk=""medium"",collection:type=""automatic"",collection:global-event=""ukraine-crisis""",1646524820
