uuid,event_id,category,type,value,comment,to_ids,date,object_relation,attribute_tag,object_uuid,object_name,object_meta_category,event_info,event_member_org,event_source_org,event_distribution,event_threat_level_id,event_analysis,event_date,event_tag,event_timestamp
"7804a4c3-7a73-4055-9c25-746fb43619a4",5913,"Network activity","url","https://human-to-dust.de/news.php","#GootLoader - https://twitter.com/GootLoaderSites/status/1488428830578679814",1,1646148255,"","","","","","Ukraine Crisis Twitter IOC Feed","UKRAINE-CRISIS","UKRAINE-CRISIS",3,"High",1,"2022-03-01","collection:ioc-source=""github"",tlp:white,false-positive:risk=""medium"",collection:type=""automatic"",collection:global-event=""ukraine-crisis""",1647878507
"50795877-915f-42ad-bb1c-b0f5da8d3e68",5913,"Network activity","url","https://continuedislands.net/file/cool.txt","#phishing - https://twitter.com/ecarlesi/status/1488435357985165312",1,1646148262,"","","","","","Ukraine Crisis Twitter IOC Feed","UKRAINE-CRISIS","UKRAINE-CRISIS",3,"High",1,"2022-03-01","collection:ioc-source=""github"",tlp:white,false-positive:risk=""medium"",collection:type=""automatic"",collection:global-event=""ukraine-crisis""",1647878507
"7d7c281f-7982-4cf9-baf9-f2997901a8d6",5913,"Network activity","domain","vpnlab.net","#ransomware #Log4shell - https://twitter.com/JoBaynes1/status/1488480066883371008",1,1646148303,"","","","","","Ukraine Crisis Twitter IOC Feed","UKRAINE-CRISIS","UKRAINE-CRISIS",3,"High",1,"2022-03-01","collection:ioc-source=""github"",tlp:white,false-positive:risk=""medium"",collection:type=""automatic"",collection:global-event=""ukraine-crisis""",1647878507
"cf4fc0f1-cc29-423d-af53-e2c8aa83981a",5913,"Network activity","domain","surname192.temp.swtest.ru","- https://twitter.com/s1ckb017/status/1488487764341534875",1,1646148309,"","","","","","Ukraine Crisis Twitter IOC Feed","UKRAINE-CRISIS","UKRAINE-CRISIS",3,"High",1,"2022-03-01","collection:ioc-source=""github"",tlp:white,false-positive:risk=""medium"",collection:type=""automatic"",collection:global-event=""ukraine-crisis""",1647878507
"f9134945-4cf8-4561-ac77-3035d7adfb89",5913,"Payload delivery","md5","fd4de6bb19fac13487ea72d938999fbd","- https://twitter.com/s1ckb017/status/1488487764341534875",1,1646148310,"","","","","","Ukraine Crisis Twitter IOC Feed","UKRAINE-CRISIS","UKRAINE-CRISIS",3,"High",1,"2022-03-01","collection:ioc-source=""github"",tlp:white,false-positive:risk=""medium"",collection:type=""automatic"",collection:global-event=""ukraine-crisis""",1647878507
"137e5c32-e3fb-4cfa-94dd-10b370ff9bb6",5913,"Payload delivery","md5","178b0739ac2668910277cbf13f6386e8","- https://twitter.com/s1ckb017/status/1488487764341534875",1,1646148310,"","","","","","Ukraine Crisis Twitter IOC Feed","UKRAINE-CRISIS","UKRAINE-CRISIS",3,"High",1,"2022-03-01","collection:ioc-source=""github"",tlp:white,false-positive:risk=""medium"",collection:type=""automatic"",collection:global-event=""ukraine-crisis""",1647878507
"4e36989b-82c0-42f5-8fe3-eb5db1cb0e00",5913,"Network activity","url","https://skyaircooler.co.in/main.php","#BazarLoader - https://twitter.com/JAMESWT_MHT/status/1488493358192414724",1,1646148311,"","","","","","Ukraine Crisis Twitter IOC Feed","UKRAINE-CRISIS","UKRAINE-CRISIS",3,"High",1,"2022-03-01","collection:ioc-source=""github"",tlp:white,false-positive:risk=""medium"",collection:type=""automatic"",collection:global-event=""ukraine-crisis""",1647878507
"edf6188f-200f-43c3-acd7-15cd695a2627",5913,"Network activity","url","https://5.2.78.37/armed15/kazan073","#BazarLoader - https://twitter.com/JAMESWT_MHT/status/1488493358192414724",1,1646148312,"","","","","","Ukraine Crisis Twitter IOC Feed","UKRAINE-CRISIS","UKRAINE-CRISIS",3,"High",1,"2022-03-01","collection:ioc-source=""github"",tlp:white,false-positive:risk=""medium"",collection:type=""automatic"",collection:global-event=""ukraine-crisis""",1647878507
"cc09dbb1-68bf-4bb0-b02b-75720cd0de0a",5913,"Network activity","ip-dst","5.2.78.37","#BazarLoader - https://twitter.com/JAMESWT_MHT/status/1488493358192414724",1,1646148312,"","","","","","Ukraine Crisis Twitter IOC Feed","UKRAINE-CRISIS","UKRAINE-CRISIS",3,"High",1,"2022-03-01","collection:ioc-source=""github"",tlp:white,false-positive:risk=""medium"",collection:type=""automatic"",collection:global-event=""ukraine-crisis""",1647878507
"135f279f-eba1-47de-bde5-eedf3b10a22a",5913,"Network activity","url","https://www.rushiprojects.com/inquerystring.php","#BazarLoader - https://twitter.com/JAMESWT_MHT/status/1488493358192414724",1,1646148313,"","","","","","Ukraine Crisis Twitter IOC Feed","UKRAINE-CRISIS","UKRAINE-CRISIS",3,"High",1,"2022-03-01","collection:ioc-source=""github"",tlp:white,false-positive:risk=""medium"",collection:type=""automatic"",collection:global-event=""ukraine-crisis""",1647878507
